country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
VNM,Vietnam,Coc Ly,WRI1030918,90,22.2985,103.1613,Hydro,,,2012,Bac Ha Hydropower Company,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/coc-ly-hydropower,Open Development Vietnam,,,,,378,314.563
VNM,Vietnam,Coc San,WRI1030923,30,22.4144,103.9066,Hydro,,,2016,Colben Energy JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/coc-san-hydropower,Open Development Vietnam,,,,,120,104.854
VNM,Vietnam,Cua Dat,WRI1030879,97,19.8782,105.2731,Hydro,,,2010,Vinaconex PC JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/cua-dat-hydropower,Open Development Vietnam,,,,,430,339.029
VNM,Vietnam,Da Dang 2,WRI1030783,34,11.7219,108.2468,Hydro,,,2010,Southern Hydropower JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-dang-2-hydropower,Open Development Vietnam,,,,,152,118.835
VNM,Vietnam,Da Kai,WRI1030802,6,12.0838,108.5953,Hydro,,,,Nghia Gia Development Company Limited,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-kai-hydropower,Open Development Vietnam,,,,,25,20.971
VNM,Vietnam,Da Nhim,WRI1030790,160,11.8529,108.6058,Hydro,,,1964,Da Nhim  Ham Thuan  Da Mi Hydropower Company,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-nhim-hydropower,Open Development Vietnam,,,,,1000,559.223
VNM,Vietnam,Da Nhim Thuong 2,WRI1030803,7.5,12.1161,108.5852,Hydro,,,2010,Thai Bao Production Trading Services and Investment Consultancy JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-nhim-thuong-hydropower,Open Development Vietnam,,,,,32,26.214
VNM,Vietnam,Dac Me,WRI1030804,5,12.1333,108.313,Hydro,,,2011,Dak Me Hydro Power JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dac-me-hydropower,Open Development Vietnam,,,,,25,17.476
VNM,Vietnam,Dai Nga,WRI1030779,10,11.4219,107.8754,Hydro,,,2015,Thac Mo Hydropower JSC,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dai-nga-hydropower,Open Development Vietnam,,,,,44,34.951
VNM,Vietnam,Dai Ninh,WRI1030781,300,11.6499,108.3202,Hydro,,,2008,Vietnam Electricity (EVN),Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dai-ninh-hydropower,Open Development Vietnam,,,,,1178,1048.544
